0	1	2	3	4	5	6
57.0	257.0	6.0	69.0	5.8	60.0	6.1
39.0	596.0	18.0	56.0	10.0	84.0	10.5
28.0		14.2	178.0	83.0	81.0	7.900000095
52.0	735.0	60.4	25.0	56.0	56.0	10.10000038
28.0	548.0	235.0	32.0	86.0	87.0	6.300000191
42.0	510.0	32.0	203.0	52.0	75.0	10.10000038
42.0	608.0	172.5	92.0	76.0	85.0	11.5
59.0	216.0	7.2	15.0		18.0	9.2
34.0	636.0	54.0	21.0	35.0	80.0	6.900000095
63.0	2060.0	91.5	120.0	10.0	70.0	8.8
36.0	637.0	77.8	99.1	41.0	90.0	6.090000153
50.0	275.0	4.7	127.0	10.0	36.0	7.0
40.0	237.0	12.8	102.0	49.0	63.0	10.4
50.0	162.0	1.6	251.0	4.0	60.0	7.9
45.0	197.0	108.0	52.0	78.0	90.0	8.800000191
57.0	507.0	22.5	71.0	67.0	85.0	6.9
28.0	4718.0	172.0	26.0	80.0	95.0	9.0
46.0	629.0	10.5	51.0	5.0	43.0	8.600000381
28.0	767.0	8.2	21.0	32.0	52.0	8.899999619
51.0	4091.0	22.1	110.0	33.0	30.0	11.60000038
47.0	606.0	144.0	40.0	97.0	100.0	7.7
29.0	84.0	4.8	12.0	18.0	22.0	4.9
50.0	214.0	10.9	22.0	65.0	70.0	11.5
56.0	167.0	2.7	294.0	5.0	65.0	11.2
59.0	817.0	37.7	39.0	72.0	72.0	7.300000191
28.0	435.0	68.0	27.0	5.0		7.800000191
41.0	1028.0	113.6	32.0	60.0	85.0	5.699999809
58.0	467.0	1.7	49.0	0.0	54.0	12.3
63.0	176.0	1.8	156.0	1.0	80.0	10.3
59.0	199.0	66.1	136.0	6.0	77.0	8.3
55.0	1959.0	4.3	45.0		50.0	11.0
30.0	461.0	2.9	211.0	0.0	90.0	9.2
55.0	3831.0	63.5	17.0	0.0	60.0	10.3
54.0	683.0	7.3	30.0	38.0	90.0	6.0
39.0	400.0	11.3	688.0	44.0	44.0	9.4
57.0	725.0	78.0	23.0	38.0	100.0	9.8
34.0	363.0	66.1	188.0	96.0	31.0	8.699999809
50.0	455.0	67.0	11.0	99.0	95.0	6.9
52.0	574.0	21.4	43.0	13.0	79.0	10.2
41.0	278.0	26.7	209.0	11.0	63.0	10.5
31.0	422.0	8.6	62.0	71.0	71.0	8.4
50.0	518.0	21.9	26.0	11.0		7.9
45.0	942.0	33.0	66.0	71.0	91.0	11.69999981
48.0	297.0	6.5	239.0	52.0	85.0	9.199999809
54.0	636.0	21.8	63.0	50.0	37.0	8.7
42.0	438.0	13.5	26.0	8.0	10.0	9.1
63.0		224.0	99.0	96.0	80.0	7.6
